"ID","Language","Concept","Definition","See","See also","Source","Input/Edit"
,"Italian","Famiglia","Due o più persone imparentate per nascita, matrimonio, adozione o stati legali affini o altrimenti che si presentano come una famiglia.",,,"FRAD modificato da IME ICC",20090812
,"Japanese","家族","出生、婚姻、養子縁組もしくは同様の法的地位によって関連付けられた、または自らを家族であるとする2以上の個人。　　",,,"IME ICCで修正されたFRAD",20090805
,"Korean","가족","출생, 결혼, 입양, 혹은 유사한 법적 신분으로 관련된 둘 이상의 개인, 혹은 스스로를 하나의 가족으로 표현한 둘 이상의 개인",,,"FRAD, IME ICC에 의해 수정",20090805
,"Latvian","Dzimta","divas vai vairākas personas, kuru radniecību nosaka piedzimšana, laulība, adopcija vai līdzīgs juridisks statuss, vai arī, kuras apliecina sevi kā ģimeni/dzimtu.",,,"FRAD (IME ICC modificētajā veidā)",20090813
,"Lithuanian","Giminė","du ar daugiau asmenų, susijusių gimimo, santuokos, įvaikinimo arba panašiu juridiniu statusu arba kitu būdu pristatančių save kaip giminę.",,,"FRAD, pakeitimas IME ICC",20100809
,"Polish","Rodzina","co najmniej dwie osoby połączone więzami krwi, małżeństwem, adopcją czy podobnym statusem prawnym lub w inny sposób określających siebie jako rodzinę.",,,"FRAD, jako poprawione przez IME ICC",20100810
,"Portuguese","Família","Duas ou mais pessoas relacionadas pelo nascimento, casamento, adoção ou outro estado legal semelhante, ou que de outro modo se apresentam como uma família.",,,"FRAD, na forma modificada por IME ICC",20090812
,"Russian","Род","два лица или более, связанных рождением, браком, усыновлением или аналогичным правовым статусом, либо любым другим способом, представляющие собой одну семью.",,,"FRAD, модификация IME ICC",20090805
,"Slovak","Rodina","Dve alebo viaceré osoby príbuzné narodením, sobášom, adopciou alebo podobným legálnym statusom, alebo prezentujúce sa ako rodina.",,,"FRAD, modifikovaný IME ICC",20090805
,"Slovene","Rodbina","dve ali več oseb, ki so povezane po rojstvu, poroki, posvojitvi ali po podobnem zakonitem razmerju ali pa se same predstavljajo kot rodbina.",,,"FRAD, prirejen po IME ICC",20090813
,"Spanish","Familia","Dos o más personas relacionadas por nacimiento, matrimonio, adopción o estado legal similar o que, de otra manera, se presentan a sí mismos como familia.",,,"FRAD, modificado por IME ICC",20090805
,"Swedish","Familj","Två eller fler personer som är relaterade till varandra genom födelse, äktenskap, adoption eller annan juridisk status eller på annat vis framställer sig själv som en familj.",,,"FRAD, modifierat av IME ICC",20090813
,"Thai","ครอบครัว","บุคคลสองบุคคลขึ้นไปที่มีความสัมพันธ์ด้วยการเกิด การสมรส การรับเป็นญาติบุญธรรม 
	หรือสถานะทางกฎหมายที่คล้ายกัน นอกจากนี้ยังรวมไปถึงการแสดงตนเองเป็นครอบครัว
",,,"FRAD ดังที่ดัดแปลงโดย IME ICC",20090805
,"Vietnamese","Gia đình","Hai hay nhiều người có quan hệ với nhau về ngày sinh, hôn nhân, nuôi dưỡng hay tình trạng luật pháp tương đồng hay nói cách khác bản thân họ hiện diện như một gia đình.",,,"FRAD, chỉnh sửa bởi IME ICC",20090813
,,,,,,,
,"English","Identifier","A number, code, word, phrase, logo, device, etc., that is associated with an entity, and serves to differentiate that entity from other entities within the domain in which the identifier is assigned.",,,"FRAD",20090805
,"Albanian","Identifikues","Numër, kod, fjalë, frazë, markë, emblemë, etj., e bashkëlidhur me një entitet dhe shërben për ta dalluar atë nga entitete të tjera brenda fushës të cilës i përket identifikuesi.",,,,20090811
,"Arabic","المحدد","رقم، رمز، كلمة، عبارة، شعار، جهاز، الخ. مرتبط بكيان ما، ويخدم متطلبات التمييز بين هذا الكيان وكيانات أخرى ضمن المجال الذي عين وخصص هذا المحدد.",,,,20090805
,"Bulgarian","Идентификатор","Номер, код, дума, израз, емблема, знак и др., който е свързан с определен обект и служи за разграничеването й от другите обекти в областта, за която е присъден идентификаторът.",,,,20100810
,"Catalan","Identificador","Número, codi, paraula, frase, logotip, dispositiu, etc., associat amb una entitat i que serveix per diferenciar-la d’altres entitats dins el domini en el qual s’assigna l’identificador.",,,,20100809
,"Chinese","识别符","与一个实体相关联的一个数字、代码、词语、短语、图标（logo）、图样等，用以在分配识别符的范畴内将该实体与其它实体区分开来。",,,"FRAD",20090805
,"Croatian","Identifikator","Broj, kod, riječ, izraz, logo, uređaj itd., povezan s entitetom, a služi za razlikovanje tog entiteta od drugih entiteta unutar domene u kojoj je dodijeljen identifikator.",,,,20090812
,"Czech","Identifikátor","číslo, kód, slovo, fráze, logo, deviza atd., které jsou spojeny s entitou a slouží k odlišení entity od jiných entit v rámci okruhu, ve kterém je identifikátor přidělen.",,,,20090812
,"Finnish","Tunniste","Numero, koodi, sana, ilmaus, logo, tunnusmerkki jne., joka liittyy entiteettiin ja erottaa tämän muista entiteeteistä siinä käsitejärjestelmässä (domain), mihin tunnus kuuluu.",,,,20100810
,"French","Identifiant","Numéro, code, mot, locution, logo, indicatif, etc. associé à une entité, et qui vise à différencier cette entité de toute autre entité appartenant au domaine au sein duquel cet identifiant est attribué.",,,,20090805
,"German","Identifikator","Eine Nummer, ein Code, ein Wort, eine Phrase, ein Logo, eine Vorrichtung etc. die mit einer Entität in Verbindung steht und dazu dient, diese Entität innerhalb des Bereichs, für den der Identifikator definiert ist, von anderen Entitäten zu unterscheiden.",,,,20090812
,"Italian","Identificatore","Numero, codice, parola, frase, logo, dispositivo ecc. associato a un’entità e serve a differenziare quell’entità dalle altre all’interno del dominio nel quale l’identificatore è assegnato.",,,,20090812
,"Japanese","識別子","ある実体と関係づけられ、その識別子が適用されている領域において、その実体と他の実体との区別ができるようにするための番号、コード、語、語句、ロゴ、仕組み等。　　",,,,20090805
,"Korean","식별기호","개체와 관련된 숫자, 부호, 단어, 어구, 로고, 고안 등으로, 할당된 식별기호는 도메인 내에서 해당 개체와 다른 개체를 구별하기 위해 사용된다.",,,,20090805
,"Latvian","Identifikators","numurs, kods, vārds, vārdkopa, emblēma, logo, u.tml., kas ir saistīts ar entītiju un atšķir šo entītiju no citām entītijām attiecīgajā sfērā, kurā šis identifikators ir piešķirts.",,,,20090813
,"Lithuanian","Identifikatorius","numeris, kodas, žodis, frazė, logotipas, ženklas ir t. t., kurie susiję su entitetu ir padeda atskirti entitetą nuo kitų entitetų toje srityje, kurioje taikomas konkretus identifikatorius.",,,,20100809
,"Polish","Identyfikator","ciąg znaków alfanumerycznych (np. numer, kod, słowo, fraza,
logo, znak itd.), który jest związany z jednostką i służy do odróżnienia jej od innych jednostek w zakresie, do którego odnosi się dany identyfikator.",,,,20100810
,"Portuguese","Identificador","Número, código, palavra, frase, logotipo, mecanismo, etc. associado a uma entidade e  que serve para diferenciá-la de outras entidades no contexto em que o identificador é atribuído.",,,,20090812
,"Russian","Идентификатор","номер, код, слово, фраза, эмблема, знак и т.п., которые ассоциируются с объектом и помогают отличить этот объект от других объектов в той области, к которой относится данный идентификатор.",,,,20090805
,"Slovak","Identifikátor","číslo, kód, slovo, fráza, logo, devíza atď., ktoré sú spojené s entitou a slúžia na odlíšenie entity od iných entít v rámci okruhu, v ktorom je identifikátor pridelený.",,,,20090805
,"Slovene","Označevalec","številka, koda, beseda, besedna zveza, znak, znamenje itn., ki je povezano z entiteto in omogoča razlikovanje med posameznimi entitetami znotraj področja, kjer je označevalec veljaven.",,,,20090813
,"Spanish","Identificador","Un numero, código, palabra, frase, logotipo, aparato, etc., que se asocia con una entidad y sirve para diferenciar entidades dentro del mismo ámbito en el que se asigna el identificador.  ",,,,20090805
,"Swedish","Identifikator","Ett nummer, kod, ord, fras, logotyp, figur etc. som är förbunden med en entitet, och gör att denna kan skiljas från andra entiteter inom den domän inom vilken identifikatorn tilldelats.",,,,20090813
,"Thai","ตัวระบุ","ตัวเลข รหัส คำ วลี ตราสัญลักษณ์ เครื่องมือ และอื่น ๆ ที่มีความเกี่ยวข้องกับเอนทิตีและจำแนกความแตกต่างของเอนทิตีหนึ่งออกจากเอนทิตีอื่น ๆ ภายในอาณาเขตที่ตัวระบุถูกกำหนดไว้",,,,20090805
,"Vietnamese","Đặc điểm nhận dạng","Số, mã, chữ cái, cụm từ ngữ, logo, hình vẽ,... đi cùng với thực thể giúp phân biệt thực thể này với thực thể khác trong cùng một phạm vi mà đặc điểm nhận dạng được nêu ra.",,,,20090813
,,,,,,,
,"Portuguese","Indexação por assuntos",,"Catalogação de assunto",,,20090812
,,,,,,,
,"English","Item","A single exemplar of a manifestation.",,,"FRAD, FRBR",20090805
,"Albanian","Njësi","Një ekzemplar i vetëm i një manifestimi.",,,,20090811
,"Arabic","الوعاء","نموذج واحد من المظهر.",,,,20090805
,"Bulgarian","Физическа единица","Отделен екземпляр от форма на физическо представяне.",,,,20100810
